number	latency	duration	channel	bvtime	bvmknum	visible	type	code	urevent
1.000000	1.000000	0.000000	0.000000	0.000000	1.000000		empty	Time 0	1.000000
2.000000	1.000000	NaN	0.000000	0.000000	2.000000		boundary	New Segment	2.000000
3.000000	5002.216000	0.256000	0.000000	0.000000	3.000000		S  7	Stimulus	3.000000
4.000000	5364.456000	0.256000	0.000000	0.000000	4.000000		S  1	Stimulus	4.000000
5.000000	5497.064000	0.256000	0.000000	0.000000	5.000000		S  7	Stimulus	5.000000
6.000000	5708.520000	0.256000	0.000000	0.000000	6.000000		S  2	Stimulus	6.000000
7.000000	5992.168000	0.256000	0.000000	0.000000	7.000000		S  7	Stimulus	7.000000
8.000000	6132.456000	0.256000	0.000000	0.000000	8.000000		S  3	Stimulus	8.000000
9.000000	6435.816000	0.256000	0.000000	0.000000	9.000000		S  7	Stimulus	9.000000
10.000000	6548.200000	0.256000	0.000000	0.000000	10.000000		S  1	Stimulus	10.000000
11.000000	6960.616000	0.256000	0.000000	0.000000	11.000000		S 11	Stimulus	11.000000
12.000000	7455.464000	0.256000	0.000000	0.000000	12.000000		S  8	Stimulus	12.000000
13.000000	7600.872000	0.256000	0.000000	0.000000	13.000000		S  1	Stimulus	13.000000
14.000000	7924.712000	0.256000	0.000000	0.000000	14.000000		S  8	Stimulus	14.000000
15.000000	8061.672000	0.256000	0.000000	0.000000	15.000000		S  1	Stimulus	15.000000
16.000000	8449.512000	0.256000	0.000000	0.000000	16.000000		S  8	Stimulus	16.000000
17.000000	8585.960000	0.256000	0.000000	0.000000	17.000000		S  2	Stimulus	17.000000
18.000000	8918.760000	0.256000	0.000000	0.000000	18.000000		S  8	Stimulus	18.000000
19.000000	9061.096000	0.256000	0.000000	0.000000	19.000000		S  2	Stimulus	19.000000
20.000000	9465.064000	0.256000	0.000000	0.000000	20.000000		S 11	Stimulus	20.000000
21.000000	10011.112000	0.256000	0.000000	0.000000	21.000000		S  6	Stimulus	21.000000
22.000000	10216.168000	0.256000	0.000000	0.000000	22.000000		S  1	Stimulus	22.000000
23.000000	10557.160000	0.256000	0.000000	0.000000	23.000000		S  6	Stimulus	23.000000
24.000000	10791.656000	0.256000	0.000000	0.000000	24.000000		S  3	Stimulus	24.000000
25.000000	11077.864000	0.256000	0.000000	0.000000	25.000000		S  6	Stimulus	25.000000
26.000000	11348.712000	0.256000	0.000000	0.000000	26.000000		S  3	Stimulus	26.000000
27.000000	11547.112000	0.256000	0.000000	0.000000	27.000000		S 11	Stimulus	27.000000
28.000000	12041.960000	0.256000	0.000000	0.000000	28.000000		S 11	Stimulus	28.000000
29.000000	12280.808000	0.256000	0.000000	0.000000	29.000000		S  5	Stimulus	29.000000
30.000000	12430.056000	0.256000	0.000000	0.000000	30.000000		S  1	Stimulus	30.000000
31.000000	12775.912000	0.256000	0.000000	0.000000	31.000000		S  5	Stimulus	31.000000
32.000000	12946.152000	0.256000	0.000000	0.000000	32.000000		S  1	Stimulus	32.000000
33.000000	13321.960000	0.256000	0.000000	0.000000	33.000000		S  5	Stimulus	33.000000
